&#160;	&#160;	Term	Count	Trend
		felt	20	0,0.0013611615,0,0,0.000738189,0.0012383901,0,0,0.0009891196,0.00082485564
		greece	20	0,0,0,0,0,0,0,0,0,0.0054990374
		jet	20	0,0,0,0,0,0.010526316,0,0.0018281536,0.00032970656,0
		kiviat	20	0.0053390283,0,0,0,0,0,0,0,0,0
		night	20	0.00026695142,0.00022686025,0.00080428954,0.0005425936,0.000984252,0.0012383901,0.0011280316,0,0.0008242664,0
		officials	20	0.0010678057,0.0004537205,0.00080428954,0,0.000246063,0,0,0,0,0.0027495187
		owner	20	0,0.00022686025,0,0.001356484,0,0,0.0022560633,0,0.0009891196,0.0010998076
		petra	20	0,0.004537205,0,0,0,0,0,0,0,0
		reports	20	0,0.0011343013,0.000536193,0.0005425936,0.000738189,0,0.0011280316,0.0036563072,0.0006594131,0
		show	20	0.0021356114,0.0004537205,0.0002680965,0,0.000492126,0.0012383901,0.0022560633,0,0.00016485328,0
		space	20	0.0042712227,0.0004537205,0,0,0.000246063,0,0,0,0.00016485328,0
		state	20	0.00026695142,0.0020417422,0,0,0.002214567,0.00061919505,0,0,0,0
		strange	20	0,0.000907441,0.000536193,0.0002712968,0.000738189,0,0.0016920473,0.0018281536,0.00032970656,0.0010998076
		susan	20	0,0,0,0,0.00492126,0,0,0,0,0
		fishing	19	0,0.00022686025,0,0,0,0,0.0005640158,0,0.0026376524,0.0002749519
		flight	19	0.00053390284,0.00022686025,0.0002680965,0,0.000246063,0.0012383901,0,0.0018281536,0.00016485328,0.0027495187
		says	19	0.0010678057,0,0,0.0002712968,0.000738189,0,0,0,0.0009891196,0.0013747594
		stopped	19	0,0.00022686025,0.0013404826,0.0002712968,0.001968504,0,0.0011280316,0,0.00016485328,0.0002749519
		far	18	0,0.0004537205,0.001072386,0,0.000984252,0,0,0.0018281536,0.00016485328,0.0016497113
		high	18	0.00026695142,0.0004537205,0.000536193,0.0005425936,0.0017224409,0.00061919505,0.0005640158,0,0.00032970656,0
		original	18	0,0,0.0013404826,0.0016277808,0,0,0.0005640158,0,0.0008242664,0.0002749519
		pilot	18	0.0010678057,0,0,0.0002712968,0.000738189,0,0,0.0073126145,0.00016485328,0.0013747594
		reporting	18	0.0010678057,0.00068058074,0.0024128687,0,0,0.00061919505,0.0005640158,0,0,0
		robert	18	0.0010678057,0.00022686025,0,0.0002712968,0,0,0.0067681894,0,0,0
		shot	18	0.0013347571,0.00022686025,0.00080428954,0.0002712968,0,0.0012383901,0,0,0,0.0016497113
		south	18	0,0.00068058074,0.0002680965,0.0018990776,0,0.00061919505,0,0,0.0009891196,0
		think	18	0.0010678057,0.00022686025,0.0002680965,0.001356484,0.000492126,0,0.0005640158,0.0018281536,0.0004945598,0
		apparently	17	0,0.0031760435,0.000536193,0,0,0.00061919505,0,0,0,0
		asked	17	0,0.0004537205,0.0013404826,0.0008138904,0.000492126,0,0.0005640158,0,0.0006594131,0
		beam	17	0.00053390284,0.0011343013,0.0026809652,0,0,0,0,0,0,0
		believe	17	0.0010678057,0.0004537205,0,0.0018990776,0,0,0.0005640158,0,0.00032970656,0.0002749519
		center	17	0,0.0011343013,0.0016085791,0,0.000246063,0.00061919505,0.0011280316,0,0.00032970656,0
		color	17	0.00080085424,0.00022686025,0.002144772,0,0.000492126,0.0012383901,0,0,0.00016485328,0
		couldn	17	0.0010678057,0.0004537205,0.000536193,0.0018990776,0,0,0,0,0.00032970656,0
		county	17	0.00026695142,0.001814882,0.000536193,0.0002712968,0.001230315,0,0,0,0,0
		couple	17	0.0010678057,0.00022686025,0,0.0008138904,0.000492126,0,0.0033840947,0,0.00016485328,0
		going	17	0.0021356114,0.00022686025,0,0.0005425936,0.000492126,0,0.0011280316,0.0018281536,0.00016485328,0
		images	17	0,0,0.00080428954,0.0005425936,0,0.0030959751,0.0005640158,0,0.0006594131,0.0005499038
		indicated	17	0,0.002722323,0.0002680965,0,0,0,0,0,0.0006594131,0
		involved	17	0,0.00068058074,0.0002680965,0.0008138904,0,0,0,0,0.0006594131,0.0016497113
		miles	17	0.0010678057,0.00022686025,0.0002680965,0.0005425936,0.000246063,0.0012383901,0.0005640158,0.0073126145,0.00016485328,0
		news	17	0,0.00022686025,0.0034852547,0,0.000492126,0,0,0,0.00016485328,0
		ohio	17	0,0.0024954628,0.0002680965,0.0002712968,0.000984252,0,0,0,0,0
		red	17	0,0,0.000536193,0.0010851872,0.000492126,0.0012383901,0,0,0.0009891196,0.0002749519
		second	17	0.00053390284,0.0004537205,0.001072386,0.0005425936,0.000738189,0,0,0.0018281536,0.0004945598,0
		small	17	0,0.00022686025,0.0002680965,0.0005425936,0.000492126,0,0.0011280316,0,0.0004945598,0.0016497113
		stated	17	0,0.0004537205,0.0018766756,0,0.000738189,0,0,0,0.0008242664,0
		analysis	16	0,0.00022686025,0.001072386,0,0.001230315,0.0024767802,0,0,0.00032970656,0
		big	16	0,0.0004537205,0.0002680965,0.0002712968,0.000492126,0,0.0005640158,0,0.0013188262,0.0002749519
		didn	16	0,0.0013611615,0.0002680965,0.0008138904,0,0,0.0016920473,0,0.0004945598,0
		evidence	16	0.00026695142,0.00022686025,0,0.0002712968,0.000738189,0.0030959751,0.0005640158,0,0.0006594131,0
		fact	16	0,0.00022686025,0.0002680965,0.0002712968,0.000246063,0,0,0,0.00032970656,0.0027495187
		fbi	16	0,0,0.0040214476,0,0,0,0,0,0.00016485328,0
		given	16	0.0013347571,0.00068058074,0,0.0005425936,0,0,0.0005640158,0,0.0008242664,0
		investigators	16	0,0.00068058074,0,0.0005425936,0.000246063,0,0.0005640158,0,0.0014836795,0
		mrs	16	0.0042712227,0,0,0,0,0,0,0,0,0
		national	16	0.00026695142,0.000907441,0.0018766756,0,0.000492126,0.00061919505,0.0005640158,0,0,0
		north	16	0,0.00068058074,0,0.0005425936,0.000984252,0.0012383901,0,0,0.0008242664,0
		nuforc	16	0,0,0.0029490616,0.0010851872,0,0.00061919505,0,0,0,0
		site	16	0.00053390284,0.0004537205,0.0002680965,0.0002712968,0.000492126,0.0012383901,0.0016920473,0,0.00032970656,0.0002749519
		somewhat	16	0,0.00068058074,0.000536193,0,0.000492126,0.00061919505,0,0,0.0004945598,0.0013747594
		camcorder	15	0.0021356114,0,0,0.0018990776,0,0,0,0,0,0
		earth	15	0,0,0,0,0.000492126,0,0,0.0018281536,0.00032970656,0.0027495187
		encounter	15	0,0.00022686025,0,0.0002712968,0.000738189,0,0.0005640158,0,0.0011539729,0.0005499038
		government	15	0.00026695142,0.0004537205,0,0,0,0,0,0,0.00032970656,0.0027495187
		jeff	15	0,0,0.0002680965,0,0.002952756,0,0.0011280316,0,0,0
		maybe	15	0.0010678057,0,0,0.0005425936,0,0,0.0011280316,0,0.0004945598,0.0010998076
		noticed	15	0,0,0.001072386,0.0002712968,0,0.00061919505,0.0011280316,0,0,0.0019246632
		passed	15	0,0.00022686025,0.0002680965,0.0008138904,0.001230315,0,0,0,0.0008242664,0
		possible	15	0.00080085424,0.0011343013,0.0002680965,0.0002712968,0.000492126,0,0,0,0.0004945598,0
		public	15	0,0.0004537205,0.0002680965,0,0.000246063,0,0,0,0.00016485328,0.0027495187
		quite	15	0,0,0,0.0021703744,0.000492126,0.0012383901,0,0.0018281536,0.00016485328,0.0002749519
		size	15	0.00026695142,0,0.000536193,0.0002712968,0.000984252,0,0,0.0036563072,0.0006594131,0.0002749519
		tv	15	0.0021356114,0.0004537205,0.000536193,0,0.000246063,0,0,0,0.00016485328,0.0002749519
		view	15	0,0.0004537205,0,0.001356484,0.000984252,0,0,0,0.0006594131,0
		window	15	0,0.0020417422,0,0.0008138904,0.000246063,0,0,0,0.00032970656,0
		aircraft	14	0,0,0.00080428954,0.0010851872,0.001230315,0.00061919505,0,0,0.00016485328,0
		alien	14	0.00026695142,0.0004537205,0,0.0010851872,0,0,0,0,0.0011539729,0
		city	14	0.0010678057,0.0011343013,0,0,0.000492126,0.00061919505,0,0,0,0.0005499038
		coming	14	0,0.00068058074,0.00080428954,0.0005425936,0.000246063,0,0.0005640158,0,0.0006594131,0
		distance	14	0.00026695142,0.0004537205,0.0002680965,0.001356484,0.000246063,0.00061919505,0,0,0.0004945598,0
		east	14	0,0.00022686025,0.0002680965,0.0002712968,0.0017224409,0.00061919505,0.0005640158,0,0.00032970656,0
		event	14	0,0.00068058074,0.000536193,0,0.000492126,0.0030959751,0,0,0.00032970656,0
		field	14	0.0013347571,0.00022686025,0,0.0016277808,0.000246063,0,0,0,0.00016485328,0
		home	14	0,0.00022686025,0.000536193,0.0010851872,0.000246063,0,0.0011280316,0,0.0006594131,0
		image	14	0.0010678057,0,0.00080428954,0.0010851872,0,0,0,0,0.0004945598,0
		incredible	14	0,0,0,0,0,0.0024767802,0,0,0,0.0027495187
		july	14	0.0010678057,0.0004537205,0,0,0,0.0037151703,0,0,0.00032970656,0
		look	14	0,0.000907441,0,0.0002712968,0.000492126,0,0,0.0018281536,0.0008242664,0.0002749519
		orange	14	0,0,0.000536193,0,0.001968504,0,0,0,0.0006594131,0
		photographs	14	0.00053390284,0.001814882,0.000536193,0.0002712968,0.000246063,0,0,0,0,0
		picture	14	0,0.00022686025,0.000536193,0.0018990776,0,0,0,0,0.00032970656,0.0005499038
		pm	14	0,0.000907441,0.000536193,0.0002712968,0.000246063,0.00061919505,0,0,0.0004945598,0.0005499038
		polygraph	14	0,0,0,0,0,0,0,0,0.0023079459,0
		spot	14	0.00026695142,0.00022686025,0.0002680965,0.0002712968,0.000246063,0,0.0005640158,0,0.0013188262,0
		worked	14	0.0021356114,0,0.0002680965,0.0002712968,0,0,0,0,0.0004945598,0.0002749519
		ago	13	0.0013347571,0,0,0.0002712968,0,0.0012383901,0,0,0,0.0013747594
		brother	13	0,0,0,0.0035268583,0,0,0,0,0,0
		camera	13	0,0.0004537205,0.000536193,0.0005425936,0.000492126,0,0,0,0.0008242664,0
		dark	13	0.00026695142,0.0004537205,0.000536193,0.0008138904,0,0,0,0,0.0006594131,0.0002749519
		description	13	0,0,0,0.0002712968,0.000246063,0.0012383901,0,0.0018281536,0.0004945598,0.0013747594
		details	13	0.00026695142,0.000907441,0.000536193,0,0,0,0.0016920473,0,0.0004945598,0
		director	13	0,0.00068058074,0.00080428954,0.0002712968,0.000738189,0.0012383901,0,0,0.00016485328,0
		hovering	13	0.0013347571,0.00068058074,0.0002680965,0.0002712968,0.000492126,0,0,0,0,0.0002749519
		immediately	13	0,0.000907441,0.000536193,0.0008138904,0.000246063,0,0.0005640158,0,0.00016485328,0.0002749519
		little	13	0.0013347571,0,0.000536193,0.0005425936,0.000492126,0,0,0,0.00032970656,0
		make	13	0,0,0.0002680965,0.0005425936,0,0.0012383901,0,0,0.0013188262,0
		men	13	0,0.00022686025,0,0,0.000246063,0,0,0,0.0018133861,0
		mountain	13	0,0,0.000536193,0,0.000246063,0,0,0,0,0.0027495187
