&#160;	&#160;	Term	Count	Trend
		didn	16	0.00017491692,0,0.0013410818,0.0007276961,0.0007085498,0.00014148274,0.00042256498,0.00013791201
		field	16	0.00017491692,0,0.0017881091,0.00043661767,0.00023618327,0.00028296548,0.0010564125,0
		getting	16	0.00017491692,0,0,0.00014553922,0,0,0,0.0019307681
		investigation	16	0,0,0.00044702727,0.0005821569,0.00047236655,0.0007074137,0.00063384743,0.00013791201
		km	16	0,0,0.00044702727,0.0011643138,0.00023618327,0.00014148274,0.0010564125,0
		moved	16	0,0,0.00044702727,0.00043661767,0,0.00014148274,0.00063384743,0.0011032961
		photographs	16	0.00069966767,0,0,0.00014553922,0,0.00042444823,0.0016902599,0
		proceeded	16	0,0,0.00044702727,0.00014553922,0,0.00028296548,0,0.0016549441
		quite	16	0.00017491692,0,0.0022351362,0,0.00023618327,0.00014148274,0.00021128249,0.00096538407
		really	16	0.0012244184,0,0.0013410818,0,0,0.0007074137,0,0.00013791201
		top	16	0.00034983383,0,0.00044702727,0.0005821569,0,0.00028296548,0.0014789774,0
		unknown	16	0,0,0,0.00029107844,0.0011809164,0.00042444823,0.0010564125,0.00013791201
		used	16	0.00069966767,0,0.0013410818,0.0007276961,0.0007085498,0,0,0.00013791201
		behind	15	0.00017491692,0,0.00044702727,0.00029107844,0.00023618327,0.0011318619,0.00021128249,0.00013791201
		beyond	15	0.0008745846,0,0.00044702727,0.00029107844,0.00023618327,0.00042444823,0.00042256498,0.00013791201
		cover	15	0.001924086,0,0,0.00014553922,0,0.00028296548,0,0.00013791201
		cut	15	0.00017491692,0,0.00044702727,0.00014553922,0.00047236655,0.00042444823,0,0.00096538407
		dark	15	0,0.0011235955,0,0.00029107844,0.0016532829,0.00014148274,0.00021128249,0.00041373604
		different	15	0.00034983383,0,0,0.00029107844,0,0.00028296548,0.0014789774,0.00027582402
		involved	15	0.00017491692,0,0.00044702727,0.00029107844,0,0.0007074137,0.00042256498,0.00055164803
		ll	15	0,0,0,0.0005821569,0.002598016,0,0,0
		look	15	0.00017491692,0.002247191,0,0.0005821569,0,0.0007074137,0.00042256498,0.00013791201
		looking	15	0.00017491692,0,0.00089405454,0.00014553922,0.0007085498,0.00056593097,0.00042256498,0.00027582402
		low	15	0.00017491692,0.0011235955,0.0026821636,0.0005821569,0,0.00014148274,0.00042256498,0
		make	15	0.00034983383,0.0011235955,0.00044702727,0.00014553922,0.00047236655,0.00028296548,0.00084512995,0.00027582402
		old	15	0.0012244184,0.0011235955,0.00044702727,0.00014553922,0,0.00056593097,0.00021128249,0
		photograph	15	0.0013993353,0,0,0.00014553922,0,0.00056593097,0.00042256498,0
		plane	15	0.00034983383,0,0,0.00043661767,0.0007085498,0,0.00021128249,0.0008274721
